Malware_Detection,Phishing_Attempts,Social_Media_Usage,Cyberbullying_Reports,Download_Risk,Data_Breach_Notifications,Age_Group,Geolocation,Peer_Interactions,Risky_Website_Visits,E_Safety_Awareness_Score,Malware_Exposure_Risk,Cybersecurity_Behavior_Category
0,0,Low,0,0,0,17-19,EU,Low,0,Moderate,1,Safe
0,0,Low,0,0,0,13-16,US,Low,0,Moderate,0,Neutral
0,0,Low,0,0,0,13-16,ASIA,Low,0,Moderate,0,Neutral
0,0,Low,0,0,0,13-16,US,Low,0,Moderate,0,Safe
0,1,Medium,0,0,0,13-16,US,Low,0,Moderate,0,Risky
0,0,Medium,0,0,0,13-16,US,Low,0,Low,0,Safe
1,0,High,0,0,0,<13,US,Low,0,Low,0,Neutral
0,1,Low,1,0,0,13-16,OTHER,Low,0,Low,0,Risky
0,1,Low,0,0,0,13-16,ASIA,Low,0,High,0,Neutral
0,1,Low,0,0,0,13-16,EU,Low,0,Low,0,Safe
0,1,Medium,0,0,0,13-16,US,Low,0,Low,0,Safe
0,0,Low,0,0,0,13-16,EU,Low,1,High,1,Neutral
1,0,Low,0,0,0,17-19,EU,Low,0,Low,1,Neutral
0,1,Low,0,0,0,13-16,US,Low,0,Low,0,Neutral
0,1,Low,0,0,0,17-19,EU,Low,0,Low,1,Safe
0,0,Low,0,1,0,17-19,US,Low,0,High,0,Neutral
0,2,Low,0,0,0,13-16,US,Low,0,Low,0,Safe
0,0,Low,0,0,0,17-19,US,Low,0,High,0,Neutral
0,1,Low,0,0,0,13-16,ASIA,Medium,0,High,0,Safe
0,1,Low,0,0,0,17-19,ASIA,Low,0,Low,0,Safe
0,0,Low,0,0,0,13-16,US,Low,0,Moderate,1,Safe
0,0,Medium,0,0,0,13-16,US,Low,0,High,1,Neutral
0,0,Low,0,0,0,13-16,US,Medium,0,Moderate,0,Risky
0,0,Low,0,0,0,17-19,US,Low,0,Moderate,0,Safe
0,0,Low,0,0,0,17-19,US,High,0,Low,1,Safe
0,0,Medium,0,1,0,17-19,US,Low,0,High,1,Neutral
0,0,Medium,0,0,0,13-16,US,Low,0,High,0,Neutral
0,0,Low,0,0,0,13-16,US,Low,0,Moderate,0,Neutral
0,1,Low,0,0,0,13-16,US,High,0,Low,1,Safe
0,0,Low,0,0,0,13-16,EU,Low,0,Low,0,Safe
0,0,Low,0,0,0,13-16,US,Low,0,Low,0,Neutral
0,0,High,0,0,0,13-16,EU,Low,0,Low,0,Risky
0,0,Low,0,0,0,13-16,EU,Low,0,High,1,Safe
0,0,Low,0,1,0,13-16,OTHER,Low,0,Low,0,Neutral
0,0,Low,0,1,0,13-16,US,Low,1,Low,1,Neutral
0,1,Medium,0,0,0,13-16,US,Low,0,Moderate,1,Safe
0,0,Medium,0,1,0,17-19,US,Low,0,Low,0,Safe
0,0,High,0,0,0,13-16,US,Low,0,Moderate,0,Neutral
0,0,Low,0,0,0,13-16,US,Low,0,Low,0,Safe
0,1,High,0,0,0,13-16,EU,High,0,Low,1,Neutral
0,0,Low,0,0,0,<13,EU,Low,0,Moderate,1,Safe
1,0,Low,0,0,0,13-16,US,Low,0,Low,0,Safe
0,0,Medium,0,0,0,13-16,EU,Low,0,Low,0,Neutral
0,0,Medium,0,1,0,13-16,US,Low,0,Low,0,Risky
1,1,Low,0,0,0,13-16,US,Low,0,Low,0,Safe
0,0,Medium,0,0,0,13-16,US,Low,0,Moderate,1,Safe
0,1,Low,0,0,0,17-19,US,Low,0,Moderate,0,Neutral
0,0,Low,0,0,0,13-16,US,Low,0,Low,1,Safe
1,0,Low,0,0,0,13-16,ASIA,Low,0,Low,0,Safe
0,0,Low,0,0,0,13-16,US,Low,1,High,0,Safe
0,0,Low,0,0,0,13-16,US,Low,0,Low,0,Neutral
0,0,Medium,0,0,0,<13,US,Low,0,Low,1,Neutral
0,1,Low,0,0,0,13-16,OTHER,Low,0,Low,1,Safe
0,0,Low,0,0,0,17-19,EU,Low,1,Moderate,0,Neutral
0,0,Low,0,0,0,<13,US,Low,0,High,0,Neutral
0,2,Low,0,0,0,13-16,US,Low,0,High,1,Safe
0,0,Medium,0,0,0,13-16,ASIA,Medium,0,High,1,Risky
0,0,Low,0,0,0,13-16,US,Low,0,Low,1,Safe
0,0,Low,0,0,0,17-19,ASIA,Low,0,Moderate,0,Safe
0,0,High,0,0,0,13-16,US,Low,0,Low,1,Safe
1,0,Medium,0,1,0,<13,US,High,0,High,1,Safe
0,0,Low,0,0,0,13-16,EU,Low,0,Low,0,Neutral
0,3,High,0,0,0,<13,US,Low,0,Low,1,Neutral
0,0,Low,0,0,0,17-19,EU,Low,0,High,1,Neutral
0,0,Low,0,0,0,13-16,EU,Low,0,Low,0,Safe
0,0,Low,0,0,0,17-19,US,Low,0,Low,0,Neutral
0,0,Low,0,0,0,13-16,US,Low,0,Moderate,0,Risky
0,0,Low,0,0,0,17-19,US,Low,0,Low,1,Safe
0,0,Low,0,0,0,13-16,OTHER,Low,0,Moderate,1,Neutral
0,0,Low,0,0,0,13-16,EU,Low,0,Low,0,Neutral
0,1,Medium,0,0,0,<13,US,Low,0,Moderate,0,Safe
0,0,Low,1,0,0,17-19,US,Low,0,High,1,Neutral
0,0,Low,0,0,0,17-19,US,Low,0,Low,0,Safe
0,1,Medium,0,0,0,13-16,EU,Low,0,Moderate,0,Safe
